name	species	continent	date
EPI_ISL_11208197|A/Duck/Hunan/S40268/2021(H5N6)|OtherBird|Asia|Duck|2021-12-01	OtherBird	Asia	2021-12-01
EPI_ISL_1139032|A/barnacleGoose/Netherlands/20017159-006/2020|WildBird|Europe|Goose|2020-11-04	WildBird	Europe	2020-11-04
EPI_ISL_12174842|A/EzoredFox/Hokkaido/1/2022|WildMammal|Asia|Fox|2022-03-31	WildMammal	Asia	2022-03-31
EPI_ISL_12799972|A/Human/Colorado/18/2022|Human|NorthAmerica|Human|2022-04-20	Human	NorthAmerica	2022-04-20
EPI_ISL_13295170|A/Duck/Cambodia/f6T241D4/2021|OtherBird|Asia|Duck|2021-11-16	OtherBird	Asia	2021-11-16
EPI_ISL_13369767|A/Turkey/England/059407/2021|LivestockAvian|Europe|Turkey|2021-11-20	LivestockAvian	Europe	2021-11-20
EPI_ISL_14760562|A/Duck/Italy/21VIR9373-2/2021|OtherBird|Europe|Duck|2021-11-09	OtherBird	Europe	2021-11-09
EPI_ISL_15542438|A/Human/CastillaLaMancha/3739/2022|Human|Europe|Human|2022-09-23	Human	Europe	2022-09-23
EPI_ISL_15839841|A/Africanpenguin/SouthAfrica/21100423D/2021|WildBird|Africa|Penguin|2021-10-26	WildBird	Africa	2021-10-26
EPI_ISL_16023371|A/RedFox/AB/FAV-0835-13/2022|WildMammal|NorthAmerica|Fox|2022-06-10	WildMammal	NorthAmerica	2022-06-10
EPI_ISL_16157545|A/Chicken/Ecuador/02/2022|LivestockAvian|SouthAmerica|Chicken|2022-11-25	LivestockAvian	SouthAmerica	2022-11-25
EPI_ISL_16171496|A/Duck/Wisconsin/22-013373-001-original/2022|OtherBird|NorthAmerica|Duck|2022-04-30	OtherBird	NorthAmerica	2022-04-30
EPI_ISL_16240885|A/Chicken/Wisconsin/22-014859-001-original/2022|LivestockAvian|NorthAmerica|Chicken|2022-05-11	LivestockAvian	NorthAmerica	2022-05-11
EPI_ISL_16813290|A/Human/CastillaLaMancha/3869/2022|Human|Europe|Human|2022-10-13	Human	Europe	2022-10-13
EPI_ISL_17075759|A/Human/Jiangsu/NJ210/2023|Human|Asia|Human|2023-02-10	Human	Asia	2023-02-10
EPI_ISL_17414603|A/avian/Nigeria/VRD-21-053_21RS744-70/2021|OtherBird|Africa|Avian|2021-02-11	OtherBird	Africa	2021-02-11
EPI_ISL_17415170|A/avian/Nigeria/271PT_22VIR3286-71/2021|OtherBird|Africa|Avian|2021-01-01	OtherBird	Africa	2021-01-01
EPI_ISL_17468386|A/Human/Chile/25945/2023|Human|SouthAmerica|Human|2023-03-24	Human	SouthAmerica	2023-03-24
EPI_ISL_177761|A/cat/Sichuan/SC18/2014|Pet|Asia|Cat|2014-05-02	Pet	Asia	2014-05-02
EPI_ISL_17821929|A/cat/Nebraska/23-001172-001-original/2023|Pet|NorthAmerica|Cat|2023-01-10	Pet	NorthAmerica	2023-01-10
EPI_ISL_1789695|A/GreySeal/SVA210406SZ0066/KN001401/2021|WildMammal|Europe|Seal|2021-03-18	WildMammal	Europe	2021-03-18
EPI_ISL_17971990|A/Domestic_cat/Poland/H256-G/2023(H5N1)|Pet|Europe|Cat|2023-06-24	Pet	Europe	2023-06-24
EPI_ISL_18033410|A/Domestic_cat/Poland/H293-N/2023|Pet|Europe|Cat|2023-07-01	Pet	Europe	2023-07-01
EPI_ISL_18054506|A/Pelican/Peru/PIU-019/2022|WildBird|SouthAmerica|Pelican|2022-11-24	WildBird	SouthAmerica	2022-11-24
EPI_ISL_18054509|A/sealion/Peru/AQP-SER00K/2023|WildMammal|SouthAmerica|SeaLion|2023-02-07	WildMammal	SouthAmerica	2023-02-07
EPI_ISL_18132794|A/BaldEagle/Minnesota/USDA-011695-001/2022|WildBird|NorthAmerica|Eagle|2022-04-14	WildBird	NorthAmerica	2022-04-14
EPI_ISL_18132805|A/Turkey/SouthDakota/USDA-010138-001/2022|LivestockAvian|NorthAmerica|Turkey|2022-04-04	LivestockAvian	NorthAmerica	2022-04-04
EPI_ISL_18133342|A/Cooper'sHawk/Minnesota/USDA-012931-001/2022|WildBird|NorthAmerica|Hawk|2022-04-22	WildBird	NorthAmerica	2022-04-22
EPI_ISL_18133353|A/Duck/Indiana/USDA-011343-001/2022|OtherBird|NorthAmerica|Duck|2022-04-12	OtherBird	NorthAmerica	2022-04-12
EPI_ISL_18211466|A/Chicken/Pakistan/501/2018|LivestockAvian|Asia|Chicken|2018-02-11	LivestockAvian	Asia	2018-02-11
EPI_ISL_18290476|A/arctic-Fox/Finland/1086/2023|WildMammal|Europe|Fox|2023-08-09	WildMammal	Europe	2023-08-09
EPI_ISL_18310960|A/backyardDuck/Uruguay/UDELAR-124-M3/2023|WildBird|SouthAmerica|Duck|2023-04-16	WildBird	SouthAmerica	2023-04-16
EPI_ISL_18439563|A/Brown_skua/Bird_Island/128288/2023|WildBird|Antarctica|Skua|2023-10-08	WildBird	Antarctica	2023-10-08
EPI_ISL_18439564|A/Brown_skua/Bird_Island/128289/2023|WildBird|Antarctica|Skua|2023-10-08	WildBird	Antarctica	2023-10-08
EPI_ISL_18462535|A/white-faced_whistling_Duck/Nigeria/VRD22-305-Dal13_23VIR8254-108/2022|WildBird|Africa|Duck|2022-03-01	WildBird	Africa	2022-03-01
EPI_ISL_18472587|A/white-napedCrane/Kagoshima/KU-185/2022(H5N1)|WildBird|Asia|Crane|2022-12-07	WildBird	Asia	2022-12-07
EPI_ISL_18690733|A/sealion/Biobio/SJCEIRR-2462961/2023|WildMammal|SouthAmerica|SeaLion|2023-03-26	WildMammal	SouthAmerica	2023-03-26
EPI_ISL_18698502|A/Chicken/Argentina/919-3/2023|LivestockAvian|SouthAmerica|Chicken|2023-03-13	LivestockAvian	SouthAmerica	2023-03-13
EPI_ISL_18698516|A/Avian/Argentina/1762-2/2023|OtherBird|SouthAmerica|Avian|2023-04-21	OtherBird	SouthAmerica	2023-04-21
EPI_ISL_18698523|A/Duck/Argentina/2197-1/2023|OtherBird|SouthAmerica|Duck|2023-05-11	OtherBird	SouthAmerica	2023-05-11
EPI_ISL_18771178|A/whitemink/Finland/UH-353-E1/2023|LivestockMammal|Europe|Mink|2023-10-17	LivestockMammal	Europe	2023-10-17
EPI_ISL_18771245|A/whitemink/Finland/UH-361-E1/2023|LivestockMammal|Europe|Mink|2023-10-17	LivestockMammal	Europe	2023-10-17
EPI_ISL_18953098|A/barnacle_Goose/Denmark/14600-2/2020|WildBird|Europe|Goose|2020-11-07	WildBird	Europe	2020-11-07
EPI_ISL_19027114|A/Human/Texas/37/2024|Human|NorthAmerica|Human|2024-03-28	Human	NorthAmerica	2024-03-28
EPI_ISL_19054391|A/feline/Texas/24-008764-002-original/2024|WildMammal|NorthAmerica|Feline|2024-03-22	WildMammal	NorthAmerica	2024-03-22
EPI_ISL_19074717|A/murine/Hiroshima/TU10-B/2024|WildMammal|Asia|Murine|2024-03-12	WildMammal	Asia	2024-03-12
EPI_ISL_19094615|A/dairycattle/Texas/24_009367-003/2024|LivestockMammal|NorthAmerica|DairyCattle|2024-03-25	LivestockMammal	NorthAmerica	2024-03-25
EPI_ISL_19094660|A/Domesticcat/Oklahoma/24_009118-002/2024|Pet|NorthAmerica|Cat|2024-03-20	Pet	NorthAmerica	2024-03-20
EPI_ISL_19094696|A/dairycattle/Michigan/24_010071-003/2024|LivestockMammal|NorthAmerica|DairyCattle|2024-04-01	LivestockMammal	NorthAmerica	2024-04-01
EPI_ISL_224722|A/Bar-headedGoose/Qinghai/BTY9-LU/2016|WildBird|Asia|Goose|2016-05-09	WildBird	Asia	2016-05-09
EPI_ISL_266596|A/swine/Guangdong/G3/2015|LivestockMammal|Asia|Swine|2015-03-26	LivestockMammal	Asia	2015-03-26
EPI_ISL_316558|A/Duck/Italy/17VIR9533/2017|OtherBird|Europe|Duck|2017-10-25	OtherBird	Europe	2017-10-25
EPI_ISL_369350|A/Chicken/SouthAfrica/17080561/2017|LivestockAvian|Africa|Chicken|2017-08-29	LivestockAvian	Africa	2017-08-29
EPI_ISL_389755|A/Chicken/Egypt/Q13944C/2017|LivestockAvian|Africa|Chicken|2017-04-12	LivestockAvian	Africa	2017-04-12
EPI_ISL_4568642|A/Human/Hunan/09285/2021|Human|Asia|Human|2021-08-07	Human	Asia	2021-08-07
EPI_ISL_681272|A/Chicken/Kagawa/F3C/2020|LivestockAvian|Asia|Chicken|2020-11-19	LivestockAvian	Asia	2020-11-19
EPI_ISL_9029956|A/Chicken/England/057314/2021|LivestockAvian|Europe|Chicken|2021-11-14	LivestockAvian	Europe	2021-11-14
